index,SMILES,lambdamax,Tt,Ts,E0t,E0s,Ered,Eox,*Eredt,*Ereds,*Eoxt,*Eoxs,Name,Unnamed: 14,Unnamed: 15
89,CC1(C)C2=C(C=CC=C2)N(C3=CC=C(C(C4=CC=C(N5C(C=CC=C6)=C6C(C)(C)C7=C5C=CC=C7)C=C4)=O)C=C3)C8=CC=CC=C18,,,,,,,0.98,,,,,DMAC-BP ,,
90,N#CC1=CC(N2C3=C(C4=C2C=CC=C4)C=CC=C3)=C(N5C6=C(C=CC=C6)C7=C5C=CC=C7)C=C1C#N,,,,,,-1.45,1.51,,,,,2CzPN,,
91,N#CC1=C(N2C3=CC=CC=C3C4=CC=CC=C42)C(N5C6=CC=CC=C6C7=CC=CC=C75)=C(N8C9=CC=CC=C9C%10=CC=CC=C%108)C(C#N)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13,,,,,,-1.23,1.49,,,,,4CzIPN,,
92,C12=CC=C3C=CC=C4C=CC(C2=C34)=CC=C1,,,,,,-2.16,1.3,,,,,Pyrene,,
93,C12=CC=CC(C3=CC=CC4=C3C5=CC=C4)=C1C5=CC=C2,,,,,,-1.74,0.98,,,,,Perylene,,
94,CC1=CC=C(N(C2=CC=C(C=C2)C=CC3=CC=C(C4=CC=C(C=CC5=CC=C(N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)C=C5)C=C4)C=C3)C8=CC=C(C)C=C8)C=C1,,,,,,,0.71,,,,,DPAVBi,,
95,CC1=CC=C(C=C1)N(C2=CC=C(C=C2)/C=C/C3=CC=C(C=C3)/C(N(C4=CC=C(C=C4)C)C5=CC=C(C=C5)C)=C\C6=CC=CC=C6)C7=CC=C(C=C7)C,,,,,,,0.68,,,,,DPAVB,,
96,CC1=C/C(C=C(O1)/C=C/C2=CC=C(N(C)C)C=C2)=C(C#N)\C#N,,,,,,-1.34,0.8,,,,,DCM,,
97,O=C1C(C2=NC3=CC=CC=C3S2)=CC4=C(O1)C=C(N(CC)CC)C=C4,,,,,,-1.49,1.09,,,,,Coumarin6,,
98,O=C1C2=CC=CC=C2C3=NC4=C(C=C(N(CC)CC)C=C4)OC3=C1,,,,,,,0.9,,,,,Nile red,,
99,COC1=CC=C([N+]2=C3C=CC=CC3=C(C4=CC(B(F)F)=CC=C4)C5=C2C=CC=C5)C=C1.[F-],,,,,,-0.7,1.69,-0.88,,1.87,,BF3-acr_m,,
100,COC1=CC=C([N+]2=C3C=CC=CC3=C(C4=C(B(F)F)C=CC=C4)C5=C2C=CC=C5)C=C1.[F-],,,,,,-0.97,1.78,-0.87,,1.68,,BF3-acr_o,,
101,COC1=CC=C([N+]2=C3C=CC=CC3=C(C4=CC=C(B(F)F)C=C4)C5=C2C=CC=C5)C=C1.[F-],,,,,,-0.8,1.71,-0.83,,1.74,,BF3-acr_p,,
102,COC1=CC=C([N+]2=C3C=CC=CC3=C(C4=CC(B(O)O)=CC=C4)C5=C2C=CC=C5)C=C1,,,,,,-0.67,1.59,-0.99,,1.91,,BOH-acr_m,,
103,COC1=CC=C([N+]2=C3C=CC=CC3=C(C4=C(B(O)O)C=CC=C4)C5=C2C=CC=C5)C=C1,,,,,,-0.58,1.6,-1.02,,2.04,,BOH_acr_o,,
104,COC1=CC=C([N+]2=C3C=CC=CC3=C(C4=CC=C(B(O)O)C=C4)C5=C2C=CC=C5)C=C1,,,,,,-0.59,1.55,-1.02,,1.98,,BOH_acr_p,,
105,N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(C#N)=C1N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13,,,,,,-1.24,1.49,-1.18,,1.43,,CA_1,,
106,N#CC1=C(N(C2=CC=CC=C2)C3=CC=CC=C3)C(F)=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C(C#N)=C1N(C6=CC=CC=C6)C7=CC=CC=C7,,,,,,-1.59,1.3,-1.38,,1.09,,CA_2,,
107,N#CC1=C(N2C3=C(C4=C2C=CC=C4)C=CC=C3)C(Cl)=C(N5C6=C(C7=C5C=CC=C7)C=CC=C6)C(C#N)=C1N8C9=C(C%10=C8C=CC=C%10)C=CC=C9,,,,,,-1.16,1.79,-0.93,,1.56,,CA_3,,
108,[O-]C1=C(C2=CC=CC=C2)C(OC3=C4C5=CC=CC=C5)=C(C=C1)C(C6=C(C([O-])=O)C=CC=C6)=C3C=C(C7=CC=CC=C7)C4=O,,,,,,-1.11,0.39,-1.82,,1.1,,Eos_1,,
109,[O-]C1=C(C2=CC=C(C(F)(F)F)C=C2)C(OC3=C4C5=CC=C(C(F)(F)F)C=C5)=C(C=C1)C(C6=C(C([O-])=O)C=CC=C6)=C3C=C(C7=CC=C(C(F)(F)F)C=C7)C4=O,,,,,,-0.99,0.54,-1.65,,1.2,,Eos_2,,
110,[O-]C1=C(C2=CC(C=CC=C3)=C3C=C2)C(OC4=C5C6=CC(C=CC=C7)=C7C=C6)=C(C=C1)C(C8=C(C([O-])=O)C=CC=C8)=C4C=C(C9=CC(C=CC=C%10)=C%10C=C9)C5=O,,,,,,-1.08,0.48,-1.72,,1.12,,Eos_3,,
111,[O-]C1=C(Br)C(OC2=C3Br)=C(C=C1Br)C(C4=C(C([O-])=O)C=CC=C4)=C2C=C(Br)C3=O,,,,,,-1.0,0.77,-1.53,,1.3,,Eos_Y,,
112,CC1(C)C2=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=CC=C2N(C5=C(C=CC=C6)C6=CC=C5)C7=C1C=C(C8=CC=C(C9=CC=CC=C9)C=C8)C=C7,,,,,,,0.76,-1.79,,,,Me2-Acr_2,,
113,CC1(C)C2=CC(C3=CC=C(C#N)C=C3)=CC=C2N(C4=C(C=CC=C5)C5=CC=C4)C6=C1C=C(C7=CC=C(C#N)C=C7)C=C6,,,,,,,0.9,-1.81,,,,Me2-Acr_3,,
114,CC1(C)C2=CC=CC=C2N(C3=C(C=CC=C4)C4=CC=C3)C5=C1C=CC=C5,,,,,,-0.49,1.88,-0.67,,2.06,,Me2-Acr_1,,
115,O=C1OC2=C(C=CC=C2)C3=CC4=C(C=CC=C4)C(C5=CC=CC=C5)=C31,,,,,,-1.74,1.75,-1.27,,1.28,,NCE_1,,
116,O=C1OC2=C(C=CC(OC)=C2)C3=CC4=C(C=CC=C4)C(C5=CC=CC=C5)=C31,,,,,,-1.76,1.47,-1.5,,1.21,,NCE_2,,
