,feature1,feature2,feature3
634,Pol,Volavg X,NBOX
635,Pol,Volavg X,NBOC4
636,Pol,Volavg X,νCNssy
637,Pol,Volavg X,iCNssy
638,Pol,Volavg X,νCNsas
639,Pol,Volavg X,iCNsas
640,Pol,NBOC1,NBON1
641,Pol,NBOC1,NBOC2
642,Pol,NBOC1,NBOC3
643,Pol,NBOC1,NBOX
644,Pol,NBOC1,NBOC4
645,Pol,NBOC1,νCNssy
646,Pol,NBOC1,iCNssy
647,Pol,NBOC1,νCNsas
648,Pol,NBOC1,iCNsas
649,Pol,NBON1,NBOC2
650,Pol,NBON1,NBOC3
651,Pol,NBON1,NBOX
652,Pol,NBON1,NBOC4
653,Pol,NBON1,νCNssy
654,Pol,NBON1,iCNssy
655,Pol,NBON1,νCNsas
656,Pol,NBON1,iCNsas
657,Pol,NBOC2,NBOC3
658,Pol,NBOC2,NBOX
659,Pol,NBOC2,NBOC4
660,Pol,NBOC2,νCNssy
661,Pol,NBOC2,iCNssy
662,Pol,NBOC2,νCNsas
663,Pol,NBOC2,iCNsas
664,Pol,NBOC3,NBOX
665,Pol,NBOC3,NBOC4
666,Pol,NBOC3,νCNssy
667,Pol,NBOC3,iCNssy
668,Pol,NBOC3,νCNsas
669,Pol,NBOC3,iCNsas
670,Pol,NBOX,NBOC4
671,Pol,NBOX,νCNssy
672,Pol,NBOX,iCNssy
673,Pol,NBOX,νCNsas
674,Pol,NBOX,iCNsas
675,Pol,NBOC4,νCNssy
676,Pol,NBOC4,iCNssy
677,Pol,NBOC4,νCNsas
678,Pol,NBOC4,iCNsas
679,Pol,νCNssy,iCNssy
680,Pol,νCNssy,νCNsas
681,Pol,νCNssy,iCNsas
682,Pol,iCNssy,νCNsas
683,Pol,iCNssy,iCNsas
684,Pol,νCNsas,iCNsas
685,Torsion,B1,B5
686,Torsion,B1,BL
687,Torsion,B1,Volavg X
688,Torsion,B1,NBOC1
689,Torsion,B1,NBON1
690,Torsion,B1,NBOC2
691,Torsion,B1,NBOC3
692,Torsion,B1,NBOX
693,Torsion,B1,NBOC4
694,Torsion,B1,νCNssy
695,Torsion,B1,iCNssy
696,Torsion,B1,νCNsas
697,Torsion,B1,iCNsas
698,Torsion,B5,BL
699,Torsion,B5,Volavg X
700,Torsion,B5,NBOC1
701,Torsion,B5,NBON1
702,Torsion,B5,NBOC2
703,Torsion,B5,NBOC3
704,Torsion,B5,NBOX
705,Torsion,B5,NBOC4
706,Torsion,B5,νCNssy
707,Torsion,B5,iCNssy
708,Torsion,B5,νCNsas
709,Torsion,B5,iCNsas
710,Torsion,BL,Volavg X
711,Torsion,BL,NBOC1
712,Torsion,BL,NBON1
713,Torsion,BL,NBOC2
714,Torsion,BL,NBOC3
715,Torsion,BL,NBOX
716,Torsion,BL,NBOC4
717,Torsion,BL,νCNssy
718,Torsion,BL,iCNssy
719,Torsion,BL,νCNsas
720,Torsion,BL,iCNsas
721,Torsion,Volavg X,NBOC1
722,Torsion,Volavg X,NBON1
723,Torsion,Volavg X,NBOC2
724,Torsion,Volavg X,NBOC3
725,Torsion,Volavg X,NBOX
726,Torsion,Volavg X,NBOC4
727,Torsion,Volavg X,νCNssy
728,Torsion,Volavg X,iCNssy
729,Torsion,Volavg X,νCNsas
730,Torsion,Volavg X,iCNsas
731,Torsion,NBOC1,NBON1
732,Torsion,NBOC1,NBOC2
733,Torsion,NBOC1,NBOC3
734,Torsion,NBOC1,NBOX
735,Torsion,NBOC1,NBOC4
736,Torsion,NBOC1,νCNssy
737,Torsion,NBOC1,iCNssy
738,Torsion,NBOC1,νCNsas
739,Torsion,NBOC1,iCNsas
740,Torsion,NBON1,NBOC2
741,Torsion,NBON1,NBOC3
742,Torsion,NBON1,NBOX
743,Torsion,NBON1,NBOC4
744,Torsion,NBON1,νCNssy
745,Torsion,NBON1,iCNssy
746,Torsion,NBON1,νCNsas
747,Torsion,NBON1,iCNsas
748,Torsion,NBOC2,NBOC3
749,Torsion,NBOC2,NBOX
750,Torsion,NBOC2,NBOC4
751,Torsion,NBOC2,νCNssy
752,Torsion,NBOC2,iCNssy
753,Torsion,NBOC2,νCNsas
754,Torsion,NBOC2,iCNsas
755,Torsion,NBOC3,NBOX
756,Torsion,NBOC3,NBOC4
757,Torsion,NBOC3,νCNssy
758,Torsion,NBOC3,iCNssy
759,Torsion,NBOC3,νCNsas
760,Torsion,NBOC3,iCNsas
761,Torsion,NBOX,NBOC4
762,Torsion,NBOX,νCNssy
763,Torsion,NBOX,iCNssy
764,Torsion,NBOX,νCNsas
765,Torsion,NBOX,iCNsas
766,Torsion,NBOC4,νCNssy
767,Torsion,NBOC4,iCNssy
768,Torsion,NBOC4,νCNsas
769,Torsion,NBOC4,iCNsas
770,Torsion,νCNssy,iCNssy
771,Torsion,νCNssy,νCNsas
772,Torsion,νCNssy,iCNsas
773,Torsion,iCNssy,νCNsas
774,Torsion,iCNssy,iCNsas
775,Torsion,νCNsas,iCNsas
776,B1,B5,BL
777,B1,B5,Volavg X
778,B1,B5,NBOC1
779,B1,B5,NBON1
780,B1,B5,NBOC2
781,B1,B5,NBOC3
782,B1,B5,NBOX
783,B1,B5,NBOC4
784,B1,B5,νCNssy
785,B1,B5,iCNssy
786,B1,B5,νCNsas
787,B1,B5,iCNsas
788,B1,BL,Volavg X
789,B1,BL,NBOC1
790,B1,BL,NBON1
791,B1,BL,NBOC2
792,B1,BL,NBOC3
793,B1,BL,NBOX
794,B1,BL,NBOC4
795,B1,BL,νCNssy
796,B1,BL,iCNssy
797,B1,BL,νCNsas
798,B1,BL,iCNsas
799,B1,Volavg X,NBOC1
800,B1,Volavg X,NBON1
801,B1,Volavg X,NBOC2
802,B1,Volavg X,NBOC3
803,B1,Volavg X,NBOX
804,B1,Volavg X,NBOC4
805,B1,Volavg X,νCNssy
806,B1,Volavg X,iCNssy
807,B1,Volavg X,νCNsas
808,B1,Volavg X,iCNsas
809,B1,NBOC1,NBON1
810,B1,NBOC1,NBOC2
811,B1,NBOC1,NBOC3
812,B1,NBOC1,NBOX
813,B1,NBOC1,NBOC4
814,B1,NBOC1,νCNssy
815,B1,NBOC1,iCNssy
816,B1,NBOC1,νCNsas
817,B1,NBOC1,iCNsas
818,B1,NBON1,NBOC2
819,B1,NBON1,NBOC3
820,B1,NBON1,NBOX
821,B1,NBON1,NBOC4
822,B1,NBON1,νCNssy
823,B1,NBON1,iCNssy
824,B1,NBON1,νCNsas
825,B1,NBON1,iCNsas
826,B1,NBOC2,NBOC3
827,B1,NBOC2,NBOX
828,B1,NBOC2,NBOC4
829,B1,NBOC2,νCNssy
830,B1,NBOC2,iCNssy
831,B1,NBOC2,νCNsas
832,B1,NBOC2,iCNsas
833,B1,NBOC3,NBOX
834,B1,NBOC3,NBOC4
835,B1,NBOC3,νCNssy
836,B1,NBOC3,iCNssy
837,B1,NBOC3,νCNsas
838,B1,NBOC3,iCNsas
839,B1,NBOX,NBOC4
840,B1,NBOX,νCNssy
841,B1,NBOX,iCNssy
842,B1,NBOX,νCNsas
843,B1,NBOX,iCNsas
844,B1,NBOC4,νCNssy
845,B1,NBOC4,iCNssy
846,B1,NBOC4,νCNsas
847,B1,NBOC4,iCNsas
848,B1,νCNssy,iCNssy
849,B1,νCNssy,νCNsas
850,B1,νCNssy,iCNsas
851,B1,iCNssy,νCNsas
852,B1,iCNssy,iCNsas
853,B1,νCNsas,iCNsas
854,B5,BL,Volavg X
855,B5,BL,NBOC1
856,B5,BL,NBON1
857,B5,BL,NBOC2
858,B5,BL,NBOC3
859,B5,BL,NBOX
860,B5,BL,NBOC4
861,B5,BL,νCNssy
862,B5,BL,iCNssy
863,B5,BL,νCNsas
864,B5,BL,iCNsas
865,B5,Volavg X,NBOC1
866,B5,Volavg X,NBON1
867,B5,Volavg X,NBOC2
868,B5,Volavg X,NBOC3
869,B5,Volavg X,NBOX
870,B5,Volavg X,NBOC4
871,B5,Volavg X,νCNssy
872,B5,Volavg X,iCNssy
873,B5,Volavg X,νCNsas
874,B5,Volavg X,iCNsas
875,B5,NBOC1,NBON1
876,B5,NBOC1,NBOC2
877,B5,NBOC1,NBOC3
878,B5,NBOC1,NBOX
879,B5,NBOC1,NBOC4
880,B5,NBOC1,νCNssy
881,B5,NBOC1,iCNssy
882,B5,NBOC1,νCNsas
883,B5,NBOC1,iCNsas
884,B5,NBON1,NBOC2
885,B5,NBON1,NBOC3
886,B5,NBON1,NBOX
887,B5,NBON1,NBOC4
888,B5,NBON1,νCNssy
889,B5,NBON1,iCNssy
890,B5,NBON1,νCNsas
891,B5,NBON1,iCNsas
892,B5,NBOC2,NBOC3
893,B5,NBOC2,NBOX
894,B5,NBOC2,NBOC4
895,B5,NBOC2,νCNssy
896,B5,NBOC2,iCNssy
897,B5,NBOC2,νCNsas
898,B5,NBOC2,iCNsas
899,B5,NBOC3,NBOX
900,B5,NBOC3,NBOC4
901,B5,NBOC3,νCNssy
902,B5,NBOC3,iCNssy
903,B5,NBOC3,νCNsas
904,B5,NBOC3,iCNsas
905,B5,NBOX,NBOC4
906,B5,NBOX,νCNssy
907,B5,NBOX,iCNssy
908,B5,NBOX,νCNsas
909,B5,NBOX,iCNsas
910,B5,NBOC4,νCNssy
911,B5,NBOC4,iCNssy
912,B5,NBOC4,νCNsas
913,B5,NBOC4,iCNsas
914,B5,νCNssy,iCNssy
915,B5,νCNssy,νCNsas
916,B5,νCNssy,iCNsas
917,B5,iCNssy,νCNsas
918,B5,iCNssy,iCNsas
919,B5,νCNsas,iCNsas
920,BL,Volavg X,NBOC1
921,BL,Volavg X,NBON1
922,BL,Volavg X,NBOC2
923,BL,Volavg X,NBOC3
924,BL,Volavg X,NBOX
925,BL,Volavg X,NBOC4
926,BL,Volavg X,νCNssy
927,BL,Volavg X,iCNssy
928,BL,Volavg X,νCNsas
929,BL,Volavg X,iCNsas
930,BL,NBOC1,NBON1
931,BL,NBOC1,NBOC2
932,BL,NBOC1,NBOC3
933,BL,NBOC1,NBOX
934,BL,NBOC1,NBOC4
935,BL,NBOC1,νCNssy
936,BL,NBOC1,iCNssy
937,BL,NBOC1,νCNsas
938,BL,NBOC1,iCNsas
939,BL,NBON1,NBOC2
