,UMAP1,UMAP2
511,-9.978798,9.996947
512,-9.919141,9.9691925
513,-9.890927,9.980063
514,-9.867819,9.986723
515,-9.827793,9.994084
516,-9.778494,9.969932
517,-9.757574,9.969041
518,-9.691243,9.95963
519,-9.664167,9.960146
520,-9.624289,9.9555435
521,-9.620262,9.957306
522,-9.528266,9.953006
523,-9.510511,9.950871
524,-9.477839,9.950915
525,-9.415986,9.949127
526,-9.343394,9.94925
527,-9.335184,9.948769
528,-9.254518,9.949456
529,-9.2255125,9.949247
530,-9.218333,9.950443
531,-9.1551695,9.952195
532,-9.122378,9.954817
533,-9.085331,9.9550495
534,-8.985791,9.96032
535,-9.0343075,9.956775
536,-8.919201,9.965465
537,-8.830468,9.969379
538,-8.829769,9.969521
539,-8.8338785,9.9683485
540,-8.759275,9.974848
541,-8.722689,9.976946
542,-8.692696,9.97947
543,-8.647451,9.983748
544,-8.629222,9.98454
545,-8.602611,9.987641
